player,Id,Position,Team,Opponent,Game,Injury.Indicator,min,fdp_floor,fdp,fdp_ceiling,Salary,Value,exclude,lock,count,cap
Sylvia Fowles,20471-80198,F,MIN,LAS,B,,31,30.85,37.16,44.04,8900,4.2,Sylvia Fowles,Sylvia Fowles,0,100
Candace Parker,20471-80063,F,LA,MIN,B,,30,27.35,34.03,41.32,8700,3.9,Candace Parker,Candace Parker,0,100
Tina Charles,20471-80181,F,NY,ATL,A,,30,26.79,32.89,39.56,8500,3.9,Tina Charles,Tina Charles,0,100
Nneka Ogwumike,20471-80046,F,LA,MIN,B,,29,24.76,30.63,37.05,7900,3.9,Nneka Ogwumike,Nneka Ogwumike,0,100
Maya Moore,20471-80191,F,MIN,LAS,B,,35,29.87,36.7,44.11,7800,4.7,Maya Moore,Maya Moore,0,100
Layshia Clarendon,20471-80156,G,ATL,NYL,A,,31,20.13,23.87,27.93,7100,3.4,Layshia Clarendon,Layshia Clarendon,0,100
Brittney Sykes,20471-80153,G,ATL,NYL,A,,28,19.88,24.47,29.48,6700,3.7,Brittney Sykes,Brittney Sykes,0,100
Elizabeth Williams,20471-80157,F,ATL,NYL,A,,27,17.92,22.19,26.86,6000,3.7,Elizabeth Williams,Elizabeth Williams,0,100
Sancho Lyttle,20471-80148,F,ATL,NYL,A,,31,20.38,25.62,31.33,5900,4.3,Sancho Lyttle,Sancho Lyttle,0,100
Tiffany Hayes,20471-80161,G,ATL,NYL,A,,25,17.58,21.49,25.79,5800,3.7,Tiffany Hayes,Tiffany Hayes,0,100
Chelsea Gray,20471-80050,G,LA,MIN,B,,31,19.25,23.76,28.66,5700,4.2,Chelsea Gray,Chelsea Gray,0,100
Odyssey Sims,20471-80044,G,LA,MIN,B,,31,18.85,23.2,27.93,5400,4.3,Odyssey Sims,Odyssey Sims,0,100
Rebekkah Brunson,20471-80201,F,MIN,LAS,B,,32,21.49,26.36,31.66,5300,5,Rebekkah Brunson,Rebekkah Brunson,0,100
Seimone Augustus,20471-80199,G,MIN,LAS,B,,29,16.97,21.03,25.46,5000,4.2,Seimone Augustus,Seimone Augustus,0,100
Shavonte Zellous,20471-80188,G,NY,ATL,A,,28,17.21,20.93,25,4600,4.5,Shavonte Zellous,Shavonte Zellous,0,100
Bria Hartley,20471-80184,G,NY,ATL,A,,27,13.56,16.66,20.06,4500,3.7,Bria Hartley,Bria Hartley,0,100
Epiphanny Prince,20471-80173,G,NY,ATL,A,,21,12.91,16.86,21.26,4400,3.8,Epiphanny Prince,Epiphanny Prince,0,100
Sugar Rodgers,20471-80183,G,NY,ATL,A,,22,13.33,16.9,20.85,4400,3.8,Sugar Rodgers,Sugar Rodgers,0,100
Renee Montgomery,20471-80204,G,MIN,LAS,B,,30,14.57,20.44,24.12,4100,5,Renee Montgomery,Renee Montgomery,0,100
Kiah Stokes,20471-80171,F,NY,ATL,A,,24,16.57,20.63,25.1,4100,5,Kiah Stokes,Kiah Stokes,0,100
Alana Beard,20471-80048,G,LA,MIN,B,,28,13.18,16.25,19.62,4000,4.1,Alana Beard,Alana Beard,0,100
Jantel Lavender,20471-80059,F,LA,MIN,B,,19,9.86,13.42,17.39,4000,3.4,Jantel Lavender,Jantel Lavender,0,100
Lindsay Whalen,20471-80200,G,MIN,LAS,B,O,0,0,0,0,3700,0,Lindsay Whalen,Lindsay Whalen,0,100
Tamera Young,20471-80265,G,ATL,NYL,A,,18,9.48,12.04,14.91,3400,3.5,Tamera Young,Tamera Young,0,100
Jia Perkins,20471-80205,G,MIN,LAS,B,,13,2.39,6.72,12.78,3300,2,Jia Perkins,Jia Perkins,0,100
Bria Holmes,20471-80151,G,ATL,NYL,A,,17,8.91,11.55,14.51,3200,3.6,Bria Holmes,Bria Holmes,0,100
Riquna Williams,20471-80051,G,LA,MIN,B,GTD,16,6.47,10.25,14.51,3200,3.2,Riquna Williams,Riquna Williams,0,100
Plenette Pierson,20471-80195,F,MIN,LAS,B,,13,6.28,9.05,12.21,3200,2.8,Plenette Pierson,Plenette Pierson,0,100
Imani Boyette,20471-80267,F,ATL,NYL,A,,13,6.56,9.79,13.48,3100,3.2,Imani Boyette,Imani Boyette,0,100
Kia Vaughn,20471-80174,F,NY,ATL,A,,14,7.08,9.96,13.23,3100,3.2,Kia Vaughn,Kia Vaughn,0,100
Aneika Morello,20471-80237,F,ATL,NYL,A,O,0,0,0,0,3000,0,Aneika Morello,Aneika Morello,0,100
Damiris Dantas,20471-80165,F,ATL,NYL,A,,10,4.69,6.89,9.45,3000,2.3,Damiris Dantas,Damiris Dantas,0,100
Darxia Morris,20471-80160,G,ATL,NYL,A,,3,0.58,1.31,2.26,3000,0.4,Darxia Morris,Darxia Morris,0,100
Matee Ajavon,20471-80163,G,ATL,NYL,A,,7,3.23,5.08,7.3,3000,1.7,Matee Ajavon,Matee Ajavon,0,100
Essence Carson,20471-80064,G,LA,MIN,B,O,0,0,0,0,3000,0,Essence Carson,Essence Carson,0,100
Maimouna Diarra,20471-80370,F,LA,MIN,B,,2,1.02,1.41,1.97,3000,0.5,Maimouna Diarra,Maimouna Diarra,0,100
Sandrine Gruda,20471-80062,F,LA,MIN,B,,4,-0.52,1.45,4.55,3000,0.5,Sandrine Gruda,Sandrine Gruda,0,100
Sydney Wiese,20471-80070,G,LA,MIN,B,,7,1.56,3.64,6.12,3000,1.2,Sydney Wiese,Sydney Wiese,0,100
Tiffany Jackson-Jones,20471-80047,F,LA,MIN,B,,7,1.61,3.2,5.11,3000,1.1,Tiffany Jackson-Jones,Tiffany Jackson-Jones,0,100
Alexis Jones,20471-80193,G,MIN,LAS,B,,7,2.38,3.1,3.95,3000,1,Alexis Jones,Alexis Jones,0,100
Natasha Howard,20471-80202,F,MIN,LAS,B,,7,1.65,3.89,6.59,3000,1.3,Natasha Howard,Natasha Howard,0,100
Temi Fagbenle,20471-80207,F,MIN,LAS,B,,3,1.09,1.51,2.07,3000,0.5,Temi Fagbenle,Temi Fagbenle,0,100
Amanda Zahui B.,20471-80178,F,NY,ATL,A,,0,0,0,0,3000,0,Amanda Zahui B.,Amanda Zahui B.,0,100
Lindsay Allen,20471-80186,G,NY,ATL,A,,13,5.34,6.99,8.87,3000,2.3,Lindsay Allen,Lindsay Allen,0,100
Nayo Raincock-Ekunwe,20471-80320,F,NY,ATL,A,,6,2.85,4.31,6.07,3000,1.4,Nayo Raincock-Ekunwe,Nayo Raincock-Ekunwe,0,100
Rebecca Allen,20471-80190,F,NY,ATL,A,,10,5.87,8.44,11.41,3000,2.8,Rebecca Allen,Rebecca Allen,0,100
